,Timestamp,Metadata,Headline,URL,ShortDesc
0,2014-04-08T16:57:49+00:00,technology, Coatue to Return as Much as 35% of Assets in Main Fund ,https://www.bloomberg.com/news/articles/2014-04-08/coatue-to-return-as-much-as-35-of-assets-in-main-fund," 500 Index sank 2.2 percent in the second week of March, the worst weekly decline since June. Facebook Inc. slumped 12 percent last month, Baidu Inc. fell 11 percent while Google Inc. tumbled 8 percent... "
1,2014-04-08T00:19:59+00:00,," Jerk.com, Napster Co-Founder Misused Facebook Data, FTC Says ",https://www.bloomberg.com/news/articles/2014-04-07/jerk-com-napster-co-founder-misused-facebook-profiles-ftc-says," anyone can acquire it,” Jerk.com said in an e-mailed statement, referring to Facebook’s online directory. Facebook, based in Menlo Park, California, said it takes breaches of its terms of service... "
2,2014-04-07T09:38:57+00:00,, Mobius Buys Technology Stocks Amid Internet Selloff ,https://www.bloomberg.com/news/articles/2014-04-07/mobius-buys-technology-stocks-amid-internet-selloff," Analysts expect Alibaba, China’s largest e-commerce business, to hold the biggest IPO since Facebook Inc. Goldman Sachs Group Inc. valued Alibaba at $150 billion in a Jan. 29 report, while Macquarie... "
3,2014-04-03T20:22:15+00:00,technology, Russian and Brazilian Hackers Discover Facebook's Biggest Holes ,https://www.bloomberg.com/news/articles/2014-04-03/russian-and-brazilian-hackers-discover-facebook-s-biggest-holes," Russia and Brazil are hacking Facebook, and the social network is paying them to do it.Facebook paid out $1.5 million to computer-security researchers worldwide last year as part of its bug bounty... "
4,2014-04-02T20:47:03+00:00,technology, Apple Emerges From Greenpeace’s Doghouse in New Report ,https://www.bloomberg.com/news/articles/2014-04-02/apple-emerges-from-greenpeace-s-doghouse-in-new-report," issued its annual report on the energy efficiency of Internet companies, praising Apple Inc., Facebook Inc. and other major providers of online services for improved use of energy resources. Apple... "
5,2014-03-29T04:01:00+00:00,, Fraternity Chief Feared for Son as Hazings Spurred JPMorgan Snub ,https://www.bloomberg.com/news/articles/2014-03-29/fraternity-chief-feared-for-son-as-hazings-spurred-jpmorgan-snub," chapters. Their posts warning that brotherly bonds will fade or pledging will go underground pack a Facebook page called ""SAE Cause for Change."" ""Doing away with the pledge program is like giving all the... "
6,2014-03-28T13:33:22+00:00,markets, U.S. Stocks Rise on Economy After S&P 500 Two-Day Drop ,https://www.bloomberg.com/news/articles/2014-03-28/u-s-stock-index-futures-rise-after-s-p-500-two-day-drop," month have occurred in technology companies. Netflix has fallen 18 percent this month, while  Facebook Inc. has lost 17 percent and Twitter Inc. declined 16 percent. Phone stocks have rallied 4.5... "
7,2014-03-27T20:37:49+00:00,," U.S. Stocks Decline as Bank, Technology Shares Lead Drop ",https://www.bloomberg.com/news/articles/2014-03-27/u-s-stock-index-futures-advance-before-home-sales-report," have occurred in technology companies that sold shares to the public in the last few years. Facebook Inc. has slipped 11 percent in March, while Yelp Inc. decreased 17 percent, Twitter Inc. declined... "
8,2014-03-27T20:38:44+00:00,," S&P 500 Falls for Second Day; Emerging Markets, Oil Gain ",https://www.bloomberg.com/news/articles/2014-03-26/nikkei-futures-fall-on-yen-as-citigroup-slips-after-hours," more than 230 percent.  Facebook, TwitterSome of the biggest losses have occurred in technology companies that sold shares to the public in the last few years. Facebook Inc. has slipped 11 percent... "
9,2014-03-27T16:27:42+00:00,, Goldman M&A Head Cites Faith in Acquirers as 2014 Deal Catalyst ,https://www.bloomberg.com/news/articles/2014-03-27/goldman-m-a-head-cites-faith-in-acquirers-as-2014-deal-catalyst, Communications Inc. Actavis Plc’s $21 billion offer for drugmaker Forest Laboratories Inc. and Facebook Inc.’s $19 billion takeover of mobile messaging service WhatsApp Inc. followed the cable combination... 
10,2015-12-22T17:05:37+00:00,technology, Highlights From Silicon Valley’s Extravagant Holiday Parties ,https://www.bloomberg.com/news/articles/2015-12-22/highlights-from-silicon-valley-s-extravagant-holiday-parties," parties. Here are nine highlights, broken down into easy-to-digest categories.Most cinematic: FacebookFacebook went all-out for its 1920s theme party, complete with a trapeze-swing performer evoking... "
11,2015-12-22T10:00:00+00:00,, What Happens If Two Driverless Cars Crash? Lawyers Drool ,https://www.bloomberg.com/news/articles/2015-12-22/driverless-cars-give-lawyers-bottomless-list-of-defendants," especially if they’re sleeping in the back seat or, as Volvo’s Eugensson suggested, “updating Facebook.”No Clarity“No one wants to be sued or be arrested for a crash that they were powerless to prevent... "
12,2015-12-18T17:08:30+00:00,gadfly, Amazon Seeks More Control Over Delivery of Customers' Packages ,https://www.bloomberg.com/gadfly/articles/2015-12-18/amazon-seeks-more-control-over-delivery-of-customers-packages, global domination. Less-than-zippy home Internet connections are a big problem for Netflix. Facebook and YouTube badly want to reach into every mobile phone in the world but run into problems with... 
13,2015-12-17T13:34:07+00:00,view, Interest Rates and Stock Splits ,https://www.bloomberg.com/view/articles/2015-12-17/interest-rates-and-stock-splits," been since the Middle Kingdom. We'll see, but for now, the unicorn herd gallops on; yesterday ""Facebook announced a partnership with Uber, the ride-hailing service, that will for the first time allow... "
14,2015-12-30T17:02:55+00:00,technology, Facebook Must Defend IPO-Related Shareholder Class Actions ,https://www.bloomberg.com/news/articles/2015-12-30/facebook-must-defend-ipo-related-shareholder-class-actions-iit2mriu," Facebook Inc. must face group claims by investors that the company misled them about its financial condition in the run-up to its May 2012 initial public offering, a judge ruled.U.S. District Judge... "
15,2014-05-23T08:40:15+00:00,," Israeli Lawmakers, Ministers Voice Concern Over Tnuva-China Deal ",https://www.bloomberg.com/news/articles/2014-05-23/israeli-lawmakers-ministers-voice-concern-over-tnuva-china-deal, in the first quarter of this year from the previous three months.  CautionAriel said on his Facebook page that Israeli law stipulates any transfer of land to a foreigner must be approved by the... 
16,2014-05-23T04:11:31+00:00,, Klinsmann Cuts Scoring Leader Donovan From U.S. World Cup Roster ,https://www.bloomberg.com/news/articles/2014-05-23/klinsmann-cuts-scoring-leader-donovan-from-u-s-world-cup-roster," imagine, I am very disappointed with today’s decision,” Donovan said in a statement posted on Facebook last night and addressed to his fans. “I will be cheering on my friends and teammates this summer... "
